	Survey End Date	CON (%)	LAB (%)	LD (%)	UKIP (%)	Grn (%)	Con Lead
ComRes/Independent on Sunday (O)	2010-10-15	40	34	14			6
YouGov/Sun	2010-10-14	42	38	12			4
YouGov/Sun	2010-10-13	41	40	11			1
YouGov/Sun	2010-10-12	43	36	12			7
YouGov/Sun	2010-10-11	42	38	12			4
YouGov/Sunday Times	2010-10-08	42	38	12			4
YouGov/Sun	2010-10-07	42	38	12			4
ICM/Sunday Telegraph	2010-10-07	38	34	18			4
YouGov/Sun	2010-10-06	42	40	11			2
YouGov/Sun	2010-10-05	43	39	11			4
YouGov/Sun	2010-10-04	41	39	12			2
ComRes/Independent (O)	2010-10-01	39	36	15			3
Angus Reid/Sunday Express	2010-10-01	35	38	16			-3
BPIX/Mail on Sunday	2010-10-01	41	37	13			4
YouGov/Sunday Times	2010-10-01	39	41	11			-2
YouGov/Sun	2010-09-30	41	39	12			2
YouGov/Sun	2010-09-29	41	39	12			2
ICM/Guardian	2010-09-29	35	37	18			-2
YouGov/Sun	2010-09-28	41	40	12			1
YouGov/Sun	2010-09-27	39	40	12			-1
YouGov/Sunday Times	2010-09-24	39	38	15			1
YouGov/Sun	2010-09-23	41	37	13			4
YouGov/Sun	2010-09-22	43	36	14			7
YouGov/Sun	2010-09-21	39	39	13			0
YouGov/Sun	2010-09-20	42	38	11			4
Opinium/	2010-09-17	37	35	13			2
YouGov/Sunday Times	2010-09-17	41	39	13			2
ComRes/Independent on Sunday (O)	2010-09-16	37	35	15			2
YouGov/Sun	2010-09-16	41	38	12			3
YouGov/Sun	2010-09-15	42	39	12			3
YouGov/Sun	2010-09-14	40	39	12			1
YouGov/Sun	2010-09-13	41	38	12			3
Ipsos-MORI/Reuters	2010-09-12	37	37	15			0
Populus/Times	2010-09-12	39	37	14			2
YouGov/Sunday Times	2010-09-10	42	38	14			4
YouGov/Sun	2010-09-09	42	37	14			5
YouGov/Sun	2010-09-08	43	38	12			5
YouGov/Sun	2010-09-07	42	38	13			4
YouGov/Sun	2010-09-06	42	37	13			5
ComRes/Independent	2010-09-05	38	34	18			4
YouGov/Sunday Times	2010-09-03	42	37	12			5
YouGov/Sun	2010-09-02	42	37	12			5
YouGov/Sun	2010-09-01	43	37	12			6
YouGov/Sun	2010-08-31	43	38	11			5
YouGov/Sunday Times	2010-08-27	41	37	13			4
YouGov/Sun	2010-08-26	42	37	12			5
YouGov/Sun	2010-08-25	42	37	12			5
YouGov/Sun	2010-08-24	41	38	13			3
YouGov/Sun	2010-08-23	41	39	12			2
YouGov/Sunday Times	2010-08-20	41	38	12			3
YouGov/Sun	2010-08-19	41	37	14			4
YouGov/Sun	2010-08-18	44	36	12			8
YouGov/Sun	2010-08-17	42	37	14			5
YouGov/Sun	2010-08-16	41	37	15			4
ComRes/Mirror/GMTV	2010-08-15	39	33	15			6
ICM/Guardian	2010-08-15	37	37	18			0
Harris/Daily Mail	2010-08-13	38	36	16			2
Opinium/	2010-08-13	39	30	16			9
YouGov/Sunday Times	2010-08-13	42	37	13			5
YouGov/Sun	2010-08-12	42	37	14			5
YouGov/Sun	2010-08-11	41	37	15			4
YouGov/Sun	2010-08-10	42	38	14			4
YouGov/Sun	2010-08-09	40	36	15			4
ComRes/Independent	2010-08-08	39	33	16			6
YouGov/Sunday Times	2010-08-06	42	36	13			6
YouGov/Sun	2010-08-05	44	36	13			8
YouGov/Sun	2010-08-04	42	36	13			6
YouGov/Sun	2010-08-03	41	36	13			5
YouGov/Sun	2010-08-02	42	38	12			6
YouGov/Sunday Times	2010-07-30	42	38	12			4
YouGov/Sun	2010-07-29	41	35	15			6
YouGov/Sun	2010-07-28	42	36	14			6
YouGov/Sun	2010-07-27	42	37	14			5
YouGov/Sun	2010-07-26	42	35	15			7
ICM/Guardian	2010-07-25	38	34	19			4
Ipsos-MORI/Reuters	2010-07-25	40	38	14			2
YouGov/Sunday Times	2010-07-23	41	36	14			5
YouGov/Sun	2010-07-22	43	35	15			8
YouGov/Sun	2010-07-21	44	35	13			9
YouGov/Sun	2010-07-20	43	35	14			8
YouGov/Sun	2010-07-19	42	35	15			7
YouGov/Sunday Times	2010-07-16	40	37	15			3
YouGov/Sun	2010-07-15	43	34	15			9
YouGov/Sun	2010-07-14	43	34	15			9
YouGov/Sun	2010-07-13	42	35	15			7
YouGov/Sun	2010-07-12	42	35	15			7
Opinium/	2010-07-09	38	34	16			4
YouGov/Sunday Times	2010-07-09	42	34	17			6
YouGov/Sun	2010-07-08	42	35	16			7
YouGov/Sun	2010-07-07	40	36	17			4
YouGov/Sun	2010-07-06	41	36	15			5
YouGov/Sun	2010-07-05	40	36	16			4
Opinium/	2010-07-02	37	33	18			4
YouGov/Sunday Times	2010-07-02	41	36	16			5
YouGov/Sun	2010-07-01	42	35	16			7
YouGov/Sun	2010-06-30	42	36	15			6
YouGov/Sun	2010-06-29	42	36	15			6
YouGov/Sun	2010-06-28	42	35	16			7
ComRes/Independent	2010-06-27	40	31	18			9
YouGov/Sunday Times	2010-06-25	43	36	16			7
ICM/Sunday Telegraph	2010-06-24	41	35	16			6
YouGov/Sun	2010-06-24	43	34	17			9
Populus/Times	2010-06-23	39	33	18			6
YouGov/Sun	2010-06-23	42	34	17			8
YouGov/Sun	2010-06-22	41	37	15			4
YouGov/Sun	2010-06-21	41	33	18			8
Ipsos-MORI/Reuters	2010-06-20	39	31	19			8
ICM/Guardian	2010-06-20	39	31	21			8
Opinium/	2010-06-18	40	31	19			9
YouGov/Sunday Times	2010-06-18	39	34	19			5
ComRes/Independent on Sunday	2010-06-17	36	30	23			6
YouGov/Sunday Times	2010-06-11	40	32	18			8
BPIX/Mail on Sunday	2010-06-11	39	32	19			7
Harris/Metro	2010-06-09	36	30	25			6
Opinium/	2010-06-04	42	28	19			14
ComRes/Independent	2010-05-31	37	33	21			4
ICM/Guardian	2010-05-23	39	32	21			7
Opinium/	2010-05-21	38	29	21			9
YouGov/Sunday Times	2010-05-21	39	32	21			7
YouGov/Sunday Times	2010-05-14	37	34	21			3
ComRes/Independent on Sunday/S. Mirror	2010-05-13	38	34	21			4
ICM/Sunday Telegraph	2010-05-13	38	33	21			5
